
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;
0,036761;0,0000;0,0000;0,0000;0,1750;0,4090;0,1590;0,0000;0,0000;0,0000;
0,056514;0,0000;0,0000;0,0000;0,0450;0,2930;0,4170;0,0000;0,0000;0,0000;
0,076801;0,1104;0,4378;0,9369;0,0450;0,2930;0,4170;0,0000;0,0000;0,0000;
0,077566;0,1104;0,4378;0,9369;0,0450;0,2930;0,4170;0,1925;-0,2458;-0,3906;
0,078115;0,1104;0,4378;0,9369;0,0410;0,1590;0,3390;0,1925;-0,2458;-0,3906;
0,097861;0,1104;0,4378;0,9369;0,0030;0,3990;0,8400;0,1925;-0,2458;-0,3906;
0,118154;0,1104;0,4378;0,9369;-0,0170;0,7160;1,4140;0,1925;-0,2458;-0,3906;
0,139170;0,0520;0,5313;0,9333;-0,0170;0,7160;1,4140;0,1925;-0,2458;-0,3906;
0,140398;0,0520;0,5313;0,9333;0,1630;0,7880;0,3880;0,1925;-0,2458;-0,3906;
0,158193;0,0520;0,5313;0,9333;0,1630;0,7880;0,3880;0,1495;-1,1458;0,2234;
0,158941;0,0520;0,5313;0,9333;0,4700;0,6320;-0,8420;0,1495;-1,1458;0,2234;
0,179448;0,0520;0,5313;0,9333;0,8350;0,4300;-1,0660;0,1495;-1,1458;0,2234;
0,198959;0,1773;0,4903;0,8371;0,8350;0,4300;-1,0660;0,1495;-1,1458;0,2234;
0,200136;0,1773;0,4903;0,8371;0,8140;0,4310;-0,5350;0,1495;-1,1458;0,2234;
0,219628;0,1773;0,4903;0,8371;0,8140;0,4310;-0,5350;-0,5875;0,1452;0,3844;
0,220989;0,1773;0,4903;0,8371;0,1520;0,2200;0,3930;-0,5875;0,1452;0,3844;
0,238876;0,1773;0,4903;0,8371;-0,6380;0,1180;0,6170;-0,5875;0,1452;0,3844;
0,261088;0,2164;0,4083;1,0170;-0,6380;0,1180;0,6170;-0,5875;0,1452;0,3844;
0,262246;0,2164;0,4083;1,0170;1,1430;-0,0920;1,0930;-0,5875;0,1452;0,3844;
0,280468;0,2164;0,4083;1,0170;1,1430;-0,0920;1,0930;0,3575;0,4362;0,1294;
0,281640;0,2164;0,4083;1,0170;1,0110;0,0360;1,0520;0,3575;0,4362;0,1294;
0,301941;0,2164;0,4083;1,0170;0,4470;-0,2390;-0,7110;0,3575;0,4362;0,1294;
0,321039;0,1344;0,4055;0,7819;0,4470;-0,2390;-0,7110;0,3575;0,4362;0,1294;
0,322270;0,1344;0,4055;0,7819;0,4620;-0,2130;-1,1770;0,3575;0,4362;0,1294;
0,341146;0,1344;0,4055;0,7819;0,4620;-0,2130;-1,1770;-0,1685;-0,0188;-0,0556;
0,342403;0,1344;0,4055;0,7819;0,2030;0,0220;-0,4420;-0,1685;-0,0188;-0,0556;
0,362503;0,1344;0,4055;0,7819;-0,4140;0,2310;0,5420;-0,1685;-0,0188;-0,0556;
0,383181;0,1016;0,4334;1,0750;-0,4140;0,2310;0,5420;-0,1685;-0,0188;-0,0556;
0,384217;0,1016;0,4334;1,0750;-0,0990;-0,0920;1,7970;-0,1685;-0,0188;-0,0556;
0,401837;0,1016;0,4334;1,0750;0,5170;-0,0590;2,0880;-0,1685;-0,0188;-0,0556;
0,424002;0,1016;0,4334;1,0750;0,5170;-0,0590;2,0880;0,8785;-0,2928;-0,1126;
0,425406;0,1016;0,4334;1,0750;1,0410;-0,0060;-0,3590;0,8785;-0,2928;-0,1126;
0,441390;0,1835;0,4617;0,6451;1,0410;-0,0060;-0,3590;0,8785;-0,2928;-0,1126;
0,442115;0,1835;0,4617;0,6451;0,5680;-0,1530;-2,2120;0,8785;-0,2928;-0,1126;
0,463738;0,1835;0,4617;0,6451;0,1160;0,0340;-1,4710;0,8785;-0,2928;-0,1126;
0,482956;0,1835;0,4617;0,6451;0,1160;0,0340;-1,4710;-0,0495;0,5462;-0,1496;
0,484109;0,1835;0,4617;0,6451;0,5540;-0,2100;0,0960;-0,0495;0,5462;-0,1496;
0,504805;0,1297;0,4246;0,8718;0,5540;-0,2100;0,0960;-0,0495;0,5462;-0,1496;
0,505537;0,1297;0,4246;0,8718;0,2680;-0,5590;-0,0010;-0,0495;0,5462;-0,1496;
0,523490;0,1297;0,4246;0,8718;0,1870;-0,0830;-0,0370;-0,0495;0,5462;-0,1496;
0,545772;0,1297;0,4246;0,8718;0,1870;-0,0830;-0,0370;-0,0485;0,1932;-0,0846;
0,546652;0,1297;0,4246;0,8718;0,1420;0,1890;-0,4450;-0,0485;0,1932;-0,0846;
0,562935;0,1050;0,5059;0,9222;0,1420;0,1890;-0,4450;-0,0485;0,1932;-0,0846;
0,563642;0,1050;0,5059;0,9222;0,2030;0,2370;0,4730;-0,0485;0,1932;-0,0846;
0,586600;0,1050;0,5059;0,9222;0,3450;0,3360;0,8820;-0,0485;0,1932;-0,0846;
0,605017;0,1050;0,5059;0,9222;0,3450;0,3360;0,8820;-0,2345;0,2002;0,1724;
0,606375;0,1050;0,5059;0,9222;0,3540;0,0080;0,4120;-0,2345;0,2002;0,1724;
