
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;
0,104434;0,0750;1,0006;0,0666;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
0,131546;0,0750;1,0006;0,0666;0,0140;0,1460;0,0010;0,0000;0,0000;0,0000;
0,151574;0,0877;1,0113;0,0952;0,0140;0,1460;0,0010;0,0000;0,0000;0,0000;
0,152843;0,0877;1,0113;0,0952;0,0090;0,1740;0,0160;0,0000;0,0000;0,0000;
0,170550;0,0877;1,0113;0,0952;0,0020;0,0680;0,0040;0,0000;0,0000;0,0000;
0,222604;0,0877;1,0113;0,0952;0,0020;0,0680;0,0040;0,1359;-0,1145;-0,0317;
0,223773;0,0877;1,0113;0,0952;0,0070;0,0860;0,0010;0,1359;-0,1145;-0,0317;
0,224272;0,0908;1,0043;0,0446;0,0070;0,0860;0,0010;0,1359;-0,1145;-0,0317;
0,224699;0,0908;1,0043;0,0446;0,0070;0,0750;0,0240;0,1359;-0,1145;-0,0317;
0,233881;0,0908;1,0043;0,0446;0,1270;0,0320;0,0380;0,1359;-0,1145;-0,0317;
0,252072;0,0908;1,0043;0,0446;0,1270;0,0320;0,0380;0,1619;0,0635;-0,0797;
0,253061;0,0908;1,0043;0,0446;0,0340;-0,0510;-0,1500;0,1619;0,0635;-0,0797;
0,272034;0,0548;0,9950;0,0121;0,0340;-0,0510;-0,1500;0,1619;0,0635;-0,0797;
0,272859;0,0548;0,9950;0,0121;-0,3030;-0,0260;-0,2210;0,1619;0,0635;-0,0797;
0,302244;0,0548;0,9950;0,0121;-0,0160;0,0660;0,1270;0,1619;0,0635;-0,0797;
0,318791;0,0548;0,9950;0,0121;-0,0160;0,0660;0,1270;0,1299;0,0825;-0,1087;
0,320594;0,0548;0,9950;0,0121;0,0200;0,0630;0,0220;0,1299;0,0825;-0,1087;
0,336937;0,0558;1,0008;0,0002;0,0200;0,0630;0,0220;0,1299;0,0825;-0,1087;
0,337741;0,0558;1,0008;0,0002;-0,3010;0,0430;-0,3620;0,1299;0,0825;-0,1087;
0,354796;0,0558;1,0008;0,0002;-0,5430;0,0230;-0,4110;0,1299;0,0825;-0,1087;
0,385379;0,0558;1,0008;0,0002;-0,5430;0,0230;-0,4110;0,0309;-0,0415;-0,0207;
0,386973;0,0558;1,0008;0,0002;-0,4210;0,1280;-0,2590;0,0309;-0,0415;-0,0207;
0,401638;0,0541;1,0101;-0,0032;-0,4210;0,1280;-0,2590;0,0309;-0,0415;-0,0207;
0,402888;0,0541;1,0101;-0,0032;-0,2110;0,1120;-0,2850;0,0309;-0,0415;-0,0207;
0,418377;0,0541;1,0101;-0,0032;-0,1460;0,0970;-0,2410;0,0309;-0,0415;-0,0207;
0,435966;0,0541;1,0101;-0,0032;-0,1240;0,0830;0,0260;0,0309;-0,0415;-0,0207;
0,456059;0,0633;1,0082;0,0314;-0,1240;0,0830;0,0260;0,0309;-0,0415;-0,0207;
0,457685;0,0633;1,0082;0,0314;-0,1240;0,0830;0,0260;-0,0061;-0,0525;0,0073;
0,459182;0,0633;1,0082;0,0314;-0,0910;0,0960;0,0500;-0,0061;-0,0525;0,0073;
0,488165;0,0633;1,0082;0,0314;-0,0090;0,0550;-0,2300;-0,0061;-0,0525;0,0073;
0,502036;0,0633;1,0082;0,0314;-0,0840;0,0680;-0,3100;-0,0061;-0,0525;0,0073;
0,527188;0,0536;1,0136;0,0267;-0,0840;0,0680;-0,3100;-0,0061;-0,0525;0,0073;
0,528458;0,0536;1,0136;0,0267;-0,0840;0,0680;-0,3100;-0,0731;-0,0525;0,0043;
0,529513;0,0536;1,0136;0,0267;-0,1660;0,1490;0,0270;-0,0731;-0,0525;0,0043;
0,536765;0,0536;1,0136;0,0267;-0,1310;0,1220;0,3360;-0,0731;-0,0525;0,0043;
0,567157;0,0536;1,0136;0,0267;0,0260;0,0130;0,0620;-0,0731;-0,0525;0,0043;
0,585306;0,0718;0,9994;-0,0100;0,0260;0,0130;0,0620;-0,0731;-0,0525;0,0043;
0,586441;0,0718;0,9994;-0,0100;0,0260;0,0130;0,0620;-0,0401;0,0275;0,0083;
0,587961;0,0718;0,9994;-0,0100;0,0100;0,0130;-0,3380;-0,0401;0,0275;0,0083;
0,602757;0,0718;0,9994;-0,0100;-0,1040;0,0810;-0,0230;-0,0401;0,0275;0,0083;
0,618881;0,0718;0,9994;-0,0100;-0,1090;0,1080;0,2500;-0,0401;0,0275;0,0083;
0,639378;0,0626;1,0052;0,0349;-0,1090;0,1080;0,2500;-0,0401;0,0275;0,0083;
0,640073;0,0626;1,0052;0,0349;-0,1090;0,1080;0,2500;0,0089;-0,0135;0,0043;
0,640784;0,0626;1,0052;0,0349;-0,0510;0,0670;0,0560;0,0089;-0,0135;0,0043;
0,667565;0,0626;1,0052;0,0349;-0,0090;0,0120;-0,0840;0,0089;-0,0135;0,0043;
0,684501;0,0626;1,0052;0,0349;-0,0450;0,0250;-0,1320;0,0089;-0,0135;0,0043;
