
time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;
0,066999;0,0000;0,0000;0,0000;0,0000;-0,1440;-0,1600;0,0000;0,0000;0,0000;
0,073263;0,0682;0,9635;0,1077;0,0000;-0,1440;-0,1600;0,0000;0,0000;0,0000;
0,074361;0,0682;0,9635;0,1077;-0,0200;-0,2830;-0,0340;0,0000;0,0000;0,0000;
0,086739;0,0682;0,9635;0,1077;-0,0200;-0,2830;-0,0340;-0,0865;-0,0453;0,0122;
0,087624;0,0682;0,9635;0,1077;-0,0130;-0,1070;-0,0130;-0,0865;-0,0453;0,0122;
0,110508;0,0682;0,9635;0,1077;-0,0130;0,0330;0,0080;-0,0865;-0,0453;0,0122;
0,129030;0,0591;0,9989;0,1681;-0,0130;0,0330;0,0080;-0,0865;-0,0453;0,0122;
0,129549;0,0591;0,9989;0,1681;0,0150;0,1220;0,0190;-0,0865;-0,0453;0,0122;
0,152177;0,0591;0,9989;0,1681;0,2910;0,0570;-0,0100;-0,0865;-0,0453;0,0122;
0,171074;0,0591;0,9989;0,1681;0,2910;0,0570;-0,0100;-0,0135;0,0137;0,0102;
0,172863;0,0591;0,9989;0,1681;0,4110;0,0720;-0,2730;-0,0135;0,0137;0,0102;
0,193425;0,0845;0,9930;0,1378;0,4110;0,0720;-0,2730;-0,0135;0,0137;0,0102;
0,194391;0,0845;0,9930;0,1378;0,2530;0,0720;-0,2890;-0,0135;0,0137;0,0102;
0,211225;0,0845;0,9930;0,1378;0,0180;0,0580;-0,1410;-0,0135;0,0137;0,0102;
0,232878;0,0845;0,9930;0,1378;0,0180;0,0580;-0,1410;0,0365;-0,1003;-0,0388;
0,234385;0,0845;0,9930;0,1378;-0,0570;0,1520;-0,1490;0,0365;-0,1003;-0,0388;
0,251992;0,0543;1,0084;0,1392;-0,0570;0,1520;-0,1490;0,0365;-0,1003;-0,0388;
0,253494;0,0543;1,0084;0,1392;-0,0050;0,1770;0,0000;0,0365;-0,1003;-0,0388;
0,273459;0,0543;1,0084;0,1392;0,0470;0,2260;-0,0120;0,0365;-0,1003;-0,0388;
0,291664;0,0543;1,0084;0,1392;0,0470;0,2260;-0,0120;0,0485;-0,0753;-0,0018;
0,293035;0,0543;1,0084;0,1392;0,0820;0,1840;-0,0230;0,0485;-0,0753;-0,0018;
0,314884;0,0743;0,9928;0,1309;0,0820;0,1840;-0,0230;0,0485;-0,0753;-0,0018;
0,316017;0,0743;0,9928;0,1309;0,1620;0,0190;-0,0110;0,0485;-0,0753;-0,0018;
0,332705;0,0743;0,9928;0,1309;0,1250;0,0040;-0,0760;0,0485;-0,0753;-0,0018;
0,355480;0,0743;0,9928;0,1309;0,1250;0,0040;-0,0760;0,0405;-0,0633;-0,0228;
0,358193;0,0743;0,9928;0,1309;0,0170;0,0850;0,0380;0,0405;-0,0633;-0,0228;
0,372108;0,0570;0,9973;0,1395;0,0170;0,0850;0,0380;0,0405;-0,0633;-0,0228;
0,372693;0,0570;0,9973;0,1395;-0,0060;0,0570;0,0950;0,0405;-0,0633;-0,0228;
0,396401;0,0570;0,9973;0,1395;-0,0040;-0,0260;-0,0910;0,0405;-0,0633;-0,0228;
0,416327;0,0570;0,9973;0,1395;0,0200;0,0250;-0,2180;0,0405;-0,0633;-0,0228;
0,437089;0,0633;1,0022;0,1226;0,0200;0,0250;-0,2180;0,0405;-0,0633;-0,0228;
0,439524;0,0633;1,0022;0,1226;0,0200;0,0250;-0,2180;-0,0205;-0,0213;0,0042;
0,440171;0,0633;1,0022;0,1226;0,0430;0,1070;-0,0270;-0,0205;-0,0213;0,0042;
0,453889;0,0633;1,0022;0,1226;-0,0460;0,1500;0,3150;-0,0205;-0,0213;0,0042;
0,477779;0,0633;1,0022;0,1226;0,0060;0,1250;0,2620;-0,0205;-0,0213;0,0042;
0,495555;0,0691;0,9961;0,1346;0,0060;0,1250;0,2620;-0,0205;-0,0213;0,0042;
0,496667;0,0691;0,9961;0,1346;0,0060;0,1250;0,2620;0,0825;-0,1343;-0,0128;
0,497978;0,0691;0,9961;0,1346;0,0920;0,0420;0,0550;0,0825;-0,1343;-0,0128;
0,522515;0,0691;0,9961;0,1346;0,1730;-0,0280;-0,1470;0,0825;-0,1343;-0,0128;
0,535710;0,0691;0,9961;0,1346;0,1510;-0,0160;-0,0750;0,0825;-0,1343;-0,0128;
0,558171;0,0555;0,9901;0,1201;0,1510;-0,0160;-0,0750;0,0825;-0,1343;-0,0128;
0,558813;0,0555;0,9901;0,1201;0,1510;-0,0160;-0,0750;0,0385;-0,0193;-0,0318;
0,559438;0,0555;0,9901;0,1201;-0,0550;-0,0180;-0,0230;0,0385;-0,0193;-0,0318;
0,575668;0,0555;0,9901;0,1201;-0,0980;0,0070;-0,0300;0,0385;-0,0193;-0,0318;
0,598828;0,0555;0,9901;0,1201;0,0970;0,0220;0,1120;0,0385;-0,0193;-0,0318;
0,617093;0,0759;0,9977;0,1455;0,0970;0,0220;0,1120;0,0385;-0,0193;-0,0318;
0,617568;0,0759;0,9977;0,1455;0,0970;0,0220;0,1120;0,0495;-0,0583;-0,0308;
0,618094;0,0759;0,9977;0,1455;0,1430;0,0510;0,2090;0,0495;-0,0583;-0,0308;
0,639110;0,0759;0,9977;0,1455;-0,0650;0,1590;0,1300;0,0495;-0,0583;-0,0308;
0,657913;0,0759;0,9977;0,1455;-0,2220;0,1010;-0,1310;0,0495;-0,0583;-0,0308;
0,681513;0,0443;0,9984;0,0987;-0,2220;0,1010;-0,1310;0,0495;-0,0583;-0,0308;
0,682647;0,0443;0,9984;0,0987;-0,1350;0,0560;-0,2000;0,0495;-0,0583;-0,0308;
0,699055;0,0443;0,9984;0,0987;-0,1350;0,0560;-0,2000;0,0155;-0,1233;0,0272;
0,700467;0,0443;0,9984;0,0987;0,1180;-0,0110;-0,0420;0,0155;-0,1233;0,0272;
0,720348;0,0443;0,9984;0,0987;0,0910;0,0020;-0,0090;0,0155;-0,1233;0,0272;
0,739371;0,0666;0,9961;0,1133;0,0910;0,0020;-0,0090;0,0155;-0,1233;0,0272;
0,740866;0,0666;0,9961;0,1133;0,0390;0,0290;-0,0310;0,0155;-0,1233;0,0272;
0,760481;0,0666;0,9961;0,1133;0,0390;0,0290;-0,0310;-0,0145;-0,0643;0,0262;
0,761830;0,0666;0,9961;0,1133;0,1310;0,0320;0,1080;-0,0145;-0,0643;0,0262;
0,781802;0,0666;0,9961;0,1133;0,1550;0,0350;0,2010;-0,0145;-0,0643;0,0262;
0,802481;0,0740;0,9930;0,1241;0,1550;0,0350;0,2010;-0,0145;-0,0643;0,0262;
0,804088;0,0740;0,9930;0,1241;0,0800;0,0080;0,0510;-0,0145;-0,0643;0,0262;
0,819453;0,0740;0,9930;0,1241;0,0800;0,0080;0,0510;0,0175;-0,0983;-0,0138;
0,821267;0,0740;0,9930;0,1241;0,0730;-0,0340;-0,1850;0,0175;-0,0983;-0,0138;
0,842858;0,0740;0,9930;0,1241;-0,0470;-0,0110;-0,3320;0,0175;-0,0983;-0,0138;
0,861012;0,0860;0,9989;0,0982;-0,0470;-0,0110;-0,3320;0,0175;-0,0983;-0,0138;
0,861943;0,0860;0,9989;0,0982;0,1680;0,0570;-0,1490;0,0175;-0,0983;-0,0138;
0,883090;0,0860;0,9989;0,0982;0,1680;0,0570;-0,1490;-0,0425;-0,1023;-0,0658;
0,883976;0,0860;0,9989;0,0982;0,1110;0,1710;0,3930;-0,0425;-0,1023;-0,0658;
0,901918;0,0860;0,9989;0,0982;-0,0240;0,1890;0,4750;-0,0425;-0,1023;-0,0658;
0,924102;0,0457;1,0164;0,1164;-0,0240;0,1890;0,4750;-0,0425;-0,1023;-0,0658;
0,924746;0,0457;1,0164;0,1164;-0,1900;0,2390;-0,0380;-0,0425;-0,1023;-0,0658;
0,942285;0,0457;1,0164;0,1164;0,0550;0,3280;-0,5250;-0,0425;-0,1023;-0,0658;
0,966456;0,0457;1,0164;0,1164;0,0550;0,3280;-0,5250;-0,0345;-0,0373;-0,0348;
0,967687;0,0457;1,0164;0,1164;0,1200;0,3390;-0,2730;-0,0345;-0,0373;-0,0348;
0,982615;0,0852;1,0416;0,1441;0,1200;0,3390;-0,2730;-0,0345;-0,0373;-0,0348;
0,984104;0,0852;1,0416;0,1441;0,1960;0,4790;0,2820;-0,0345;-0,0373;-0,0348;
1,005425;0,0852;1,0416;0,1441;0,1330;0,5640;0,4160;-0,0345;-0,0373;-0,0348;
1,023662;0,0852;1,0416;0,1441;0,1330;0,5640;0,4160;0,0705;-0,0423;-0,0858;
1,024837;0,0852;1,0416;0,1441;0,1790;0,6980;-0,0400;0,0705;-0,0423;-0,0858;
1,044784;0,0708;1,0922;0,0715;0,1790;0,6980;-0,0400;0,0705;-0,0423;-0,0858;
1,045500;0,0708;1,0922;0,0715;0,0690;0,9640;-0,3900;0,0705;-0,0423;-0,0858;
1,067267;0,0708;1,0922;0,0715;-0,1800;1,2470;-0,1450;0,0705;-0,0423;-0,0858;
1,087070;0,0708;1,0922;0,0715;-0,1800;1,2470;-0,1450;-0,0805;-0,2113;0,1082;
1,089447;0,0708;1,0922;0,0715;-0,0480;1,5460;-0,1360;-0,0805;-0,2113;0,1082;
1,105019;0,1297;1,1748;0,0178;-0,0480;1,5460;-0,1360;-0,0805;-0,2113;0,1082;
1,106603;0,1297;1,1748;0,0178;0,6460;1,7810;-0,9160;-0,0805;-0,2113;0,1082;
