"time","gFx","gFy","gFz","ax","ay","az","wx","wy","wz","gN","gNm","gNsd","dt","pid","group","label"
0.036761,0,0,0,0.175,0.409,0.159,0,0,0,0.8,0.407629079,0.209566872597891,NA,0,"G1","N"
0.056514,0,0,0,0.045,0.293,0.417,0,0,0,0.8,0.363232337,0.157854017959869,0.019753,1,"G1","L1"
0.076801,0.1104,0.4378,0.9369,0.045,0.293,0.417,0,0,0,0.28163861,0.318835595,0.0392090648970395,0.020287,1,"G1","L1"
0.077566,0.1104,0.4378,0.9369,0.045,0.293,0.417,0.1925,-0.2458,-0.3906,0.28163861,0.307928313,0.06023814690808,0.000765000000000002,1,"G1","L1"
0.078115,0.1104,0.4378,0.9369,0.041,0.159,0.339,0.1925,-0.2458,-0.3906,0.28163861,0.297021031,0.0738616463615115,0.000549000000000008,1,"G1","L1"
0.097861,0.1104,0.4378,0.9369,0.003,0.399,0.84,0.1925,-0.2458,-0.3906,0.28163861,0.286113749,0.0837739586687948,0.019746,1,"G1","L1"
0.118154,0.1104,0.4378,0.9369,-0.017,0.716,1.414,0.1925,-0.2458,-0.3906,0.28163861,0.275206467,0.0911933900364675,0.020293,1,"G1","L1"
0.13917,0.052,0.5313,0.9333,-0.017,0.716,1.414,0.1925,-0.2458,-0.3906,0.35603258,0.264299185,0.0966954885666339,0.021016,1,"G1","L1"
0.140398,0.052,0.5313,0.9333,0.163,0.788,0.388,0.1925,-0.2458,-0.3906,0.35603258,0.273478612,0.109835698934516,0.00122800000000001,1,"G1","L1"
0.158193,0.052,0.5313,0.9333,0.163,0.788,0.388,0.1495,-1.1458,0.2234,0.35603258,0.282658039,0.120791122974322,0.017795,1,"G1","L1"
0.158941,0.052,0.5313,0.9333,0.47,0.632,-0.842,0.1495,-1.1458,0.2234,0.35603258,0.291837466,0.130114800833849,0.000747999999999999,1,"G1","L1"
0.179448,0.052,0.5313,0.9333,0.835,0.43,-1.066,0.1495,-1.1458,0.2234,0.35603258,0.301016893,0.138137535740062,0.020507,1,"G1","L1"
0.198959,0.1773,0.4903,0.8371,0.835,0.43,-1.066,0.1495,-1.1458,0.2234,0.17256579,0.31019632,0.145075316792045,0.019511,1,"G1","L1"
0.200136,0.1773,0.4903,0.8371,0.814,0.431,-0.535,0.1495,-1.1458,0.2234,0.17256579,0.293553619,0.170019821641094,0.00117700000000001,1,"G1","L1"
0.219628,0.1773,0.4903,0.8371,0.814,0.431,-0.535,-0.5875,0.1452,0.3844,0.17256579,0.276910918,0.19013448389768,0.019492,1,"G1","L1"
0.220989,0.1773,0.4903,0.8371,0.152,0.22,0.393,-0.5875,0.1452,0.3844,0.17256579,0.260268217,0.206833252140015,0.001361,1,"G1","L1"
0.238876,0.1773,0.4903,0.8371,-0.638,0.118,0.617,-0.5875,0.1452,0.3844,0.17256579,0.243625516,0.220892182800123,0.017887,1,"G1","L1"
0.261088,0.2164,0.4083,1.017,-0.638,0.118,0.617,-0.5875,0.1452,0.3844,0.44782685,0.226982815,0.232790052753981,0.022212,1,"G1","L1"
0.262246,0.2164,0.4083,1.017,1.143,-0.092,1.093,-0.5875,0.1452,0.3844,0.44782685,0.237578442,0.245995608901323,0.00115799999999999,1,"G1","L1"
0.280468,0.2164,0.4083,1.017,1.143,-0.092,1.093,0.3575,0.4362,0.1294,0.44782685,0.248174069,0.25804454580899,0.018222,1,"G1","L1"
0.28164,0.2164,0.4083,1.017,1.011,0.036,1.052,0.3575,0.4362,0.1294,0.44782685,0.258769696,0.26909227549357,0.00117200000000001,1,"G1","L1"
