"time","gFx","gFy","gFz","ax","ay","az","wx","wy","wz","gN","gNm","gNsd","dt","pid","group","label"
0.104434,0.075,1.0006,0.0666,0,0,0,0,0,0,0.21126092,0.227648881,0.012777525686861,NA,0,"G1","N"
0.131546,0.075,1.0006,0.0666,0.014,0.146,0.001,0,0,0,0.21126092,0.228408018,0.0118904178122161,0.027112,1,"G1","L1"
0.151574,0.0877,1.0113,0.0952,0.014,0.146,0.001,0,0,0,0.23948202,0.229167155,0.0108728223857177,0.020028,1,"G1","L1"
0.152843,0.0877,1.0113,0.0952,0.009,0.174,0.016,0,0,0,0.23948202,0.224536398,0.0150502996241883,0.00126900000000002,1,"G1","L1"
0.17055,0.0877,1.0113,0.0952,0.002,0.068,0.004,0,0,0,0.23948202,0.219905641,0.0169455491713177,0.017707,1,"G1","L1"
0.222604,0.0877,1.0113,0.0952,0.002,0.068,0.004,0.1359,-0.1145,-0.0317,0.23948202,0.215274884,0.0173245092412591,0.052054,1,"G1","L1"
0.223773,0.0877,1.0113,0.0952,0.007,0.086,0.001,0.1359,-0.1145,-0.0317,0.23948202,0.210644127,0.0162933259335417,0.001169,1,"G1","L1"
0.224272,0.0908,1.0043,0.0446,0.007,0.086,0.001,0.1359,-0.1145,-0.0317,0.21885229,0.20601337,0.0135334099655629,0.000498999999999999,1,"G1","L1"
0.224699,0.0908,1.0043,0.0446,0.007,0.075,0.024,0.1359,-0.1145,-0.0317,0.21885229,0.204599573,0.0127594849784081,0.000427000000000011,1,"G1","L1"
0.233881,0.0908,1.0043,0.0446,0.127,0.032,0.038,0.1359,-0.1145,-0.0317,0.21885229,0.203185776,0.0117479318163185,0.009182,1,"G1","L1"
0.252072,0.0908,1.0043,0.0446,0.127,0.032,0.038,0.1619,0.0635,-0.0797,0.21885229,0.201771979,0.0104298379870419,0.018191,1,"G1","L1"
0.253061,0.0908,1.0043,0.0446,0.034,-0.051,-0.15,0.1619,0.0635,-0.0797,0.21885229,0.200358182,0.00866644750399141,0.000988999999999962,1,"G1","L1"
0.272034,0.0548,0.995,0.0121,0.034,-0.051,-0.15,0.1619,0.0635,-0.0797,0.19317445,0.198944385,0.00608204551704116,0.018973,1,"G1","L1"
0.272859,0.0548,0.995,0.0121,-0.303,-0.026,-0.221,0.1619,0.0635,-0.0797,0.19317445,0.201950846,0.00942498160946293,0.00082500000000002,1,"G1","L1"
0.302244,0.0548,0.995,0.0121,-0.016,0.066,0.127,0.1619,0.0635,-0.0797,0.19317445,0.204957307,0.0109810308975888,0.029385,1,"G1","L1"
0.318791,0.0548,0.995,0.0121,-0.016,0.066,0.127,0.1299,0.0825,-0.1087,0.19317445,0.207963768,0.0114999809294023,0.016547,1,"G1","L1"
0.320594,0.0548,0.995,0.0121,0.02,0.063,0.022,0.1299,0.0825,-0.1087,0.19317445,0.210970229,0.0111278858615266,0.001803,1,"G1","L1"
0.336937,0.0558,1.0008,2e-04,0.02,0.063,0.022,0.1299,0.0825,-0.1087,0.20471432,0.213798793,0.00959055255206917,0.016343,1,"G1","L1"
0.337741,0.0558,1.0008,2e-04,-0.301,0.043,-0.362,0.1299,0.0825,-0.1087,0.20471432,0.21547337,0.00928519744917322,0.000804000000000027,1,"G1","L1"
0.354796,0.0558,1.0008,2e-04,-0.543,0.023,-0.411,0.1299,0.0825,-0.1087,0.20471432,0.217147947,0.00861507466400744,0.017055,1,"G1","L1"
0.385379,0.0558,1.0008,2e-04,-0.543,0.023,-0.411,0.0309,-0.0415,-0.0207,0.20471432,0.218822524,0.00748281749362303,0.030583,1,"G1","L1"
0.386973,0.0558,1.0008,2e-04,-0.421,0.128,-0.259,0.0309,-0.0415,-0.0207,0.20471432,0.220497101,0.00561551691293655,0.00159399999999998,1,"G1","L1"
0.401638,0.0541,1.0101,-0.0032,-0.421,0.128,-0.259,0.0309,-0.0415,-0.0207,0.22323906,0.22312275,0.00289575070301294,0.014665,1,"G1","L1"
0.402888,0.0541,1.0101,-0.0032,-0.211,0.112,-0.285,0.0309,-0.0415,-0.0207,0.22323906,0.223895925,0.00381617713232103,0.00125000000000003,1,"G1","L1"
0.418377,0.0541,1.0101,-0.0032,-0.146,0.097,-0.241,0.0309,-0.0415,-0.0207,0.22323906,0.2246691,0.00440597323686832,0.015489,1,"G1","L1"
0.435966,0.0541,1.0101,-0.0032,-0.124,0.083,0.026,0.0309,-0.0415,-0.0207,0.22323906,0.225442275,0.00478889850698988,0.017589,1,"G1","L1"
0.456059,0.0633,1.0082,0.0314,-0.124,0.083,0.026,0.0309,-0.0415,-0.0207,0.22146009,0.22621545,0.00501258956468609,0.020093,1,"G1","L1"
0.457685,0.0633,1.0082,0.0314,-0.124,0.083,0.026,-0.0061,-0.0525,0.0073,0.22146009,0.224475001,0.00859126406022674,0.00162600000000002,1,"G1","L1"
0.459182,0.0633,1.0082,0.0314,-0.091,0.096,0.05,-0.0061,-0.0525,0.0073,0.22146009,0.222734552,0.010759280154658,0.00149699999999997,1,"G1","L1"
