"time","gFx","gFy","gFz","ax","ay","az","wx","wy","wz","gN","gNm","gNsd","dt","pid","group","label"
0.066999,0,0,0,0,-0.144,-0.16,0,0,0,0.8,0.244112042,0.199830432064336,NA,0,"G1","N"
0.073263,0.0682,0.9635,0.1077,0,-0.144,-0.16,0,0,0,0.14458278,0.187067205,0.044782516027533,0.00626399999999999,1,"G1","L1"
0.074361,0.0682,0.9635,0.1077,-0.02,-0.283,-0.034,0,0,0,0.14458278,0.193826736,0.0427108901807766,0.001098,1,"G1","L1"
0.086739,0.0682,0.9635,0.1077,-0.02,-0.283,-0.034,-0.0865,-0.0453,0.0122,0.14458278,0.200586267,0.0392610545763341,0.012378,1,"G1","L1"
0.087624,0.0682,0.9635,0.1077,-0.013,-0.107,-0.013,-0.0865,-0.0453,0.0122,0.14458278,0.207345798,0.0340162393716713,0.000884999999999997,1,"G1","L1"
0.110508,0.0682,0.9635,0.1077,-0.013,0.033,0.008,-0.0865,-0.0453,0.0122,0.14458278,0.214105329,0.0259083489182389,0.022884,1,"G1","L1"
0.12903,0.0591,0.9989,0.1681,-0.013,0.033,0.008,-0.0865,-0.0453,0.0122,0.22955163,0.22086486,0.00915665957000703,0.018522,1,"G1","L1"
0.129549,0.0591,0.9989,0.1681,0.015,0.122,0.019,-0.0865,-0.0453,0.0122,0.22955163,0.221829266,0.0105717563791277,0.000518999999999992,1,"G1","L1"
0.152177,0.0591,0.9989,0.1681,0.291,0.057,-0.01,-0.0865,-0.0453,0.0122,0.22955163,0.222793672,0.0117308486191445,0.022628,1,"G1","L1"
0.171074,0.0591,0.9989,0.1681,0.291,0.057,-0.01,-0.0135,0.0137,0.0102,0.22955163,0.223758078,0.012704201810345,0.018897,1,"G1","L1"
0.172863,0.0591,0.9989,0.1681,0.411,0.072,-0.273,-0.0135,0.0137,0.0102,0.22955163,0.224722484,0.0135319560994593,0.00178899999999999,1,"G1","L1"
0.193425,0.0845,0.993,0.1378,0.411,0.072,-0.273,-0.0135,0.0137,0.0102,0.21217809,0.22568689,0.0142395254852275,0.020562,1,"G1","L1"
0.194391,0.0845,0.993,0.1378,0.253,0.072,-0.289,-0.0135,0.0137,0.0102,0.21217809,0.225299795,0.0146929551585946,0.000965999999999995,1,"G1","L1"
0.211225,0.0845,0.993,0.1378,0.018,0.058,-0.141,-0.0135,0.0137,0.0102,0.21217809,0.2249127,0.0151217986073232,0.016834,1,"G1","L1"
0.232878,0.0845,0.993,0.1378,0.018,0.058,-0.141,0.0365,-0.1003,-0.0388,0.21217809,0.224525605,0.0155280929778373,0.021653,1,"G1","L1"
0.234385,0.0845,0.993,0.1378,-0.057,0.152,-0.149,0.0365,-0.1003,-0.0388,0.21217809,0.22413851,0.0159135654872256,0.00150700000000001,1,"G1","L1"
0.251992,0.0543,1.0084,0.1392,-0.057,0.152,-0.149,0.0365,-0.1003,-0.0388,0.23919569,0.223751415,0.0162796952699989,0.017607,1,"G1","L1"
0.253494,0.0543,1.0084,0.1392,-0.005,0.177,0,0.0365,-0.1003,-0.0388,0.23919569,0.2215635,0.0154210122461889,0.001502,1,"G1","L1"
0.273459,0.0543,1.0084,0.1392,0.047,0.226,-0.012,0.0365,-0.1003,-0.0388,0.23919569,0.219375585,0.0141403339299216,0.019965,1,"G1","L1"
0.291664,0.0543,1.0084,0.1392,0.047,0.226,-0.012,0.0485,-0.0753,-0.0018,0.23919569,0.21718767,0.0123066141948862,0.018205,1,"G1","L1"
0.293035,0.0543,1.0084,0.1392,0.082,0.184,-0.023,0.0485,-0.0753,-0.0018,0.23919569,0.214999755,0.00960826449330781,0.00137100000000001,1,"G1","L1"
0.314884,0.0743,0.9928,0.1309,0.082,0.184,-0.023,0.0485,-0.0753,-0.0018,0.20830714,0.213424435,0.00569491870873833,0.021849,1,"G1","L1"
0.316017,0.0743,0.9928,0.1309,0.162,0.019,-0.011,0.0485,-0.0753,-0.0018,0.20830714,0.21493797,0.00617482098522332,0.001133,1,"G1","L1"
0.332705,0.0743,0.9928,0.1309,0.125,0.004,-0.076,0.0485,-0.0753,-0.0018,0.20830714,0.216451505,0.0062236716545714,0.016688,1,"G1","L1"
0.35548,0.0743,0.9928,0.1309,0.125,0.004,-0.076,0.0405,-0.0633,-0.0228,0.20830714,0.21796504,0.00585227503559267,0.022775,1,"G1","L1"
0.358193,0.0743,0.9928,0.1309,0.017,0.085,0.038,0.0405,-0.0633,-0.0228,0.20830714,0.219478575,0.00496724439548443,0.00271299999999997,1,"G1","L1"
0.372108,0.057,0.9973,0.1395,0.017,0.085,0.038,0.0405,-0.0633,-0.0228,0.21731654,0.220158579,0.00352366179243013,0.013915,1,"G1","L1"
0.372693,0.057,0.9973,0.1395,-0.006,0.057,0.095,0.0405,-0.0633,-0.0228,0.21731654,0.219937643,0.00378149075344641,0.000585000000000002,1,"G1","L1"
0.396401,0.057,0.9973,0.1395,-0.004,-0.026,-0.091,0.0405,-0.0633,-0.0228,0.21731654,0.219716707,0.00400932407107906,0.023708,1,"G1","L1"
0.416327,0.057,0.9973,0.1395,0.02,0.025,-0.218,0.0405,-0.0633,-0.0228,0.21731654,0.219495771,0.00421203205033292,0.019926,1,"G1","L1"
0.437089,0.0633,1.0022,0.1226,0.02,0.025,-0.218,0.0405,-0.0633,-0.0228,0.22344249,0.219274835,0.00439309410059628,0.020762,1,"G1","L1"
0.439524,0.0633,1.0022,0.1226,0.02,0.025,-0.218,-0.0205,-0.0213,0.0042,0.22344249,0.216710813,0.00782909880797701,0.00243500000000002,1,"G1","L1"
0.440171,0.0633,1.0022,0.1226,0.043,0.107,-0.027,-0.0205,-0.0213,0.0042,0.22344249,0.214146791,0.00941705620605083,0.000646999999999953,1,"G1","L1"
0.453889,0.0633,1.0022,0.1226,-0.046,0.15,0.315,-0.0205,-0.0213,0.0042,0.22344249,0.211582769,0.0100726239930444,0.013718,1,"G1","L1"
0.477779,0.0633,1.0022,0.1226,0.006,0.125,0.262,-0.0205,-0.0213,0.0042,0.22344249,0.209018747,0.00998124279321305,0.02389,1,"G1","L1"
0.495555,0.0691,0.9961,0.1346,0.006,0.125,0.262,-0.0205,-0.0213,0.0042,0.21510718,0.206454725,0.0091204883840374,0.017776,1,"G1","L1"
0.496667,0.0691,0.9961,0.1346,0.006,0.125,0.262,0.0825,-0.1343,-0.0128,0.21510718,0.207177642,0.0101148115844206,0.001112,1,"G1","L1"
0.497978,0.0691,0.9961,0.1346,0.092,0.042,0.055,0.0825,-0.1343,-0.0128,0.21510718,0.207900559,0.0109669578783113,0.00131099999999995,1,"G1","L1"
0.522515,0.0691,0.9961,0.1346,0.173,-0.028,-0.147,0.0825,-0.1343,-0.0128,0.21510718,0.208623476,0.0117080127909196,0.024537,1,"G1","L1"
0.53571,0.0691,0.9961,0.1346,0.151,-0.016,-0.075,0.0825,-0.1343,-0.0128,0.21510718,0.209346393,0.0123579775291663,0.0131950000000001,1,"G1","L1"
0.558171,0.0555,0.9901,0.1201,0.151,-0.016,-0.075,0.0825,-0.1343,-0.0128,0.19780227,0.21006931,0.0129305955161306,0.022461,1,"G1","L1"
0.558813,0.0555,0.9901,0.1201,0.151,-0.016,-0.075,0.0385,-0.0193,-0.0318,0.19780227,0.211139757,0.0122261354413005,0.000642000000000031,1,"G1","L1"
0.559438,0.0555,0.9901,0.1201,-0.055,-0.018,-0.023,0.0385,-0.0193,-0.0318,0.19780227,0.212210204,0.0113670632467975,0.000624999999999987,1,"G1","L1"
0.575668,0.0555,0.9901,0.1201,-0.098,0.007,-0.03,0.0385,-0.0193,-0.0318,0.19780227,0.213280651,0.0103148202836883,0.01623,1,"G1","L1"
0.598828,0.0555,0.9901,0.1201,0.097,0.022,0.112,0.0385,-0.0193,-0.0318,0.19780227,0.214351098,0.00900191977931972,0.0231600000000001,1,"G1","L1"
0.617093,0.0759,0.9977,0.1455,0.097,0.022,0.112,0.0385,-0.0193,-0.0318,0.22233635,0.215421545,0.00728884445864029,0.018265,1,"G1","L1"
0.617568,0.0759,0.9977,0.1455,0.097,0.022,0.112,0.0495,-0.0583,-0.0308,0.22233635,0.214136676,0.00706346516641049,0.000475000000000003,1,"G1","L1"
0.618094,0.0759,0.9977,0.1455,0.143,0.051,0.209,0.0495,-0.0583,-0.0308,0.22233635,0.212851807,0.00655661391271962,0.000526000000000026,1,"G1","L1"
0.63911,0.0759,0.9977,0.1455,-0.065,0.159,0.13,0.0495,-0.0583,-0.0308,0.22233635,0.211566938,0.00569360966982931,0.0210159999999999,1,"G1","L1"
0.657913,0.0759,0.9977,0.1455,-0.222,0.101,-0.131,0.0495,-0.0583,-0.0308,0.22233635,0.210282069,0.00426339716339099,0.018803,1,"G1","L1"
0.681513,0.0443,0.9984,0.0987,-0.222,0.101,-0.131,0.0495,-0.0583,-0.0308,0.20850674,0.2089972,0.00051699023373548,0.0236000000000001,1,"G1","L1"
0.682647,0.0443,0.9984,0.0987,-0.135,0.056,-0.2,0.0495,-0.0583,-0.0308,0.20850674,0.208839107,0.000830373521709781,0.00113399999999997,1,"G1","L1"
